alcohol,sulfato,acido citrico,calidad
11.7,0.49,0.2,5
9.6,0.52,0.19,6
9.7,0.74,0,5
11.3,0.76,0.31,8
11.3,0.73,0.32,7
11,0.78,0.44,7
11.6,0.76,0.02,7
10.9,0.69,0.63,6
10.9,0.63,0,6
9,0.58,0.33,5
10.5,0.6,0.4,5
11.9,0.8,0.35,7
10.4,0.68,0.09,6
10,0.61,0,4
10.8,0.53,0.01,6
9.7,0.67,0.1,5
10,0.65,0.32,7
11,0.57,0.08,4
10,0.65,0.32,7
9.7,0.55,0.05,3
9.7,0.47,0.11,5
12.6,0.52,0.08,5
11.1,0.79,0.6,6
11,0.54,0.08,5
8.8,0.75,0.5,5
13.56666667,0.88,0.11,7
8.8,0.75,0.5,5
13.6,0.88,0.11,7
10.2,0.52,0.05,3
10.6,0.68,0.6,5
10.1,0.62,0.03,4
10.6,0.68,0.6,5
10.7,0.61,0.44,5
9.7,0.55,0.16,5
10.3,0.6,0.21,5
10.6,0.78,0.05,5
11.4,0.58,0.04,5
12.4,0.56,0.49,6
11.95,0.54,0.06,5
9.7,0.59,0.26,5
10,0.7,0.09,7
10.6,0.81,0.02,6
11.5,0.63,0.03,6
11.5,0.63,0.03,6
9.4,0.53,0.29,5
11,0.69,0.39,6
11.4,0.55,0.57,6
9.95,0.63,0.02,3
10.8,0.66,0.05,6
11.4,0.55,0.57,6
10.6,0.72,0.6,6
11.1,0.7,0.4,5
9.7,0.77,0.21,6
9.8,0.67,0.04,5
9.233333333,0.72,0.21,6
9.25,0.72,0.21,6
10.3,0.83,0.06,6
10.5,0.63,0.46,5
10.2,0.58,0.08,5
10.6,0.97,0.25,5
10.4,0.6,0.25,5
9.7,0.64,0.08,5
9.6,0.65,0.08,6
10.1,0.67,0.49,6
10.2,0.6,0.08,6
11.3,0.69,0.09,6
10.2,0.66,0.1,5
9.9,0.68,0.13,6
9,0.61,0.3,5
11.7,0.62,0.14,7
9.7,0.59,0.13,6
12,0.63,0.09,5
11.6,0.63,0.08,6
11.2,0.81,0.43,7
10.1,0.64,0.33,6
10.2,0.61,0.02,5
10.4,0.58,0.5,5
11.4,0.7,0.3,8
9.4,0.54,0,5
11.3,0.66,0.01,6
9.4,0.6,0,5
10.55,0.68,0.17,7
9.9,0.56,0.04,5
11,0.6,0.02,6
9.5,0.56,0.33,5
9.9,0.52,0.26,5
9.9,0.52,0.26,5
9.9,0.52,0.26,5
10.1,0.54,0.13,5
10.1,0.54,0.13,5
10.9,0.82,0.02,6
11.2,0.71,0.64,6
10.1,0.54,0.13,5
9.2,0.59,0.13,5
11.5,0.57,0.14,6
12.4,0.93,0.53,6
11.1,0.65,0.14,6
9.5,0.51,0.32,5
12.5,0.67,0.2,6
11.8,0.64,0.4,6
10.8,0.78,0.63,6
11.9,0.6,0.15,6
11.3,0.67,0.15,6
11.9,0.6,0.33,6
11.9,0.5,0.1,5
9.8,0.62,0.29,5
11.6,0.8,0.44,7
11.4,0.85,0.41,6
10.9,0.66,0.11,6
11.6,0.82,0.15,6
11.6,0.56,0.09,6
11,0.75,0.13,6
9.5,0.82,0.08,6
10.5,0.58,0.08,5
11.2,0.76,0.1,6
10.2,0.71,0.12,5
